,Manufacturer,Name,Headsize (sq_inch),Length (inn),Strung Weight (oz),Balance,Swingweight,Beamwidth,Power Level,Stiffness,Stringing Pattern,HL or HH,Points of Balance
706,Volkl,Volkl C10 Pro,98,27.0,12.2,8pts HL,323,20.0,0,63,16 Mains/19 Crosses,Head Light,8
707,Volkl,Volkl Tour 10 Midplus Generation II,98,27.0,12.0,9pts HL,315,20.0,0,61,16 Mains/19 Crosses,Head Light,9
708,Volkl,Volkl Boris Becker 1,112,27.25,9.6,5pts HH,313,29.0,2,66,16 Mains/19 Crosses,Head Heavy,5
709,Volkl,Volkl Tour 9 V-Engine (16x19),98,27.0,11.5,5pts HL,308,22.0,0,64,16 Mains/19 Crosses,Head Light,5
710,Volkl,Volkl DNX 10 Midplus,93,27.0,12.0,12pts HL,331,19.0,0,58,16 Mains/19 Crosses,Head Light,1
712,Volkl,Volkl Boris Becker 5,105,27.0,10.0,0pts EB,300,25.0,1,64,16 Mains/19 Crosses,Head Heavy,0
713,Volkl,Volkl Catapult 4 Generation II,105,27.5,10.2,4pts HL,300,25.0,1,65,16 Mains/19 Crosses,Head Light,4
714,Volkl,Volkl Tour 9 V-Engine,98,27.0,11.4,6pts HL,306,22.0,0,63,18 Mains/20 Crosses,Head Light,6
716,Volkl,Volkl Tour 10 V-Engine Mid,93,27.0,12.2,8pts HL,318,18.0,0,60,18 Mains/20 Crosses,Head Light,8
720,Volkl,Volkl Tour 5,105,27.0,9.6,0pts EB,290,23.0,1,61,16 Mains/19 Crosses,Head Heavy,0
724,Volkl,Volkl C-10 Pro Tour,93,27.0,12.4,6pts HL,339,20.0,0,61,16 Mains/19 Crosses,Head Light,6
727,Volkl,Volkl C-8 ,98,27.0,11.0,3pts HL,315,21.0,0,62,16 Mains/19 Crosses,Head Light,3
728,Volkl,Volkl C-9 Pro,98,27.0,11.5,5pts HL,309,20.0,0,60,16 Mains/19 Crosses,Head Light,5
734,Volkl,Volkl Catapult 4,105,27.5,10.3,4pts HL,300,25.0,1,65,16 Mains/19 Crosses,Head Light,4
735,Volkl,Volkl Catapult 6,100,27.25,10.5,3pts HL,305,24.0,1,62,16 Mains/18 Crosses,Head Light,3
736,Volkl,Volkl Catapult 7,100,27.6,11.0,3pts HL,310,24.0,1,64,16 Mains/18 Crosses,Head Light,3
747,Volkl,Volkl Quantum 10 Tour,98,27.0,11.5,6pts HL,306,20.0,0,64,18 Mains/20 Crosses,Head Light,6
749,Volkl,Volkl Quantum 5,110,27.5,10.1,3pts HL,300,27.0,1,68,16 Mains/19 Crosses,Head Light,3
750,Volkl,Volkl Quantum 8,102,27.6,10.3,2pts HL,318,24.0,0,65,16 Mains/19 Crosses,Head Light,2
754,Volkl,Volkl Tour 10 Mid,93,27.0,12.0,6pts HL,327,20.0,0,59,18 Mains/20 Crosses,Head Light,6
755,Volkl,Volkl Tour 10 Midplus,98,27.0,11.7,5pts HL,328,20.0,0,62,16 Mains/19 Crosses,Head Light,5
756,Volkl,Volkl Tour 10 V-Engine Midplus,98,27.0,11.9,7pts HL,320,20.0,0,62,16 Mains/19 Crosses,Head Light,7
758,Volkl,Volkl Tour 7,107,27.0,11.1,5pts HL,305,22.0,0,63,16 Mains/19 Crosses,Head Light,5
759,Volkl,Volkl Tour 8,100,27.6,10.9,6pts HL,307,20.0,0,70,16 Mains/18 Crosses,Head Light,6
761,Volkl,Volkl Tour 8 S.E.,100,27.0,10.3,4pts HL,290,20.0,0,62,16 Mains/18 Crosses,Head Light,4
762,Volkl,Volkl Tour 9,98,27.0,11.3,6pts HL,300,20.0,0,68,16 Mains/19 Crosses,Head Light,6
767,Volkl,Volkl X-10 Pro,98,27.5,11.4,11pts HL,307,20.0,0,61,16 Mains/19 Crosses,Head Light,1
773,Volkl,Volkl Power Bridge 10 MP,98,27.0,12.0,7pts HL,320,19.0,0,64,18 Mains/20 Crosses,Head Light,7
