,Manufacturer,Name,Headsize (sq_inch),Length (inn),Strung Weight (oz),Balance,Swingweight,Beamwidth,Power Level,Stiffness,Stringing Pattern,HL or HH,Points of Balance
413,Dunlop,Dunlop M-Fil 200 Plus \'06,97,27.0,11.4,7pts HL,309,20.0,0,64,16 Mains/19 Crosses,Head Light,7
414,Dunlop,Dunlop 300G MP,98,27.0,10.8,4pts HL,300,21.5,0,64,16 Mains/19 Crosses,Head Light,4
415,Dunlop,Dunlop Roland Garros Racing,100,27.0,10.3,3pts HL,300,21.0,0,68,16 Mains/19 Crosses,Head Light,3
416,Dunlop,Dunlop Aerogel 8Hundred,110,27.5,9.5,6pts HH,312,30.0,2,70,16 Mains/19 Crosses,Head Heavy,6
421,Dunlop,Dunlop M-Fil Lady,108,27.5,9.8,0pts EB,296,27.0,2,69,16 Mains/19 Crosses,Head Heavy,0
422,Dunlop,Dunlop Aerogel 1000,118,27.5,9.2,7pts HH,312,32.0,2,69,16 Mains/19 Crosses,Head Heavy,7
424,Dunlop,Dunlop 200G 26,95,26.0,9.9,1pts HL,257,20.0,0,61,18 Mains/20 Crosses,Head Light,1
425,Dunlop,Dunlop 300G Junior,98,26.0,9.5,1pts HL,249,21.5,0,60,16 Mains/19 Crosses,Head Light,1
426,Dunlop,Dunlop 200G 95,95,27.0,11.9,5pts HL,316,20.0,0,60,18 Mains/20 Crosses,Head Light,5
427,Dunlop,Dunlop 300G Oversize,105,27.5,10.6,4pts HL,302,22.0,1,57,18 Mains/20 Crosses,Head Light,4
428,Dunlop,Dunlop 400G,100,27.25,10.6,8pts HL,285,24.0,0,62,16 Mains/19 Crosses,Head Light,8
435,Dunlop,Dunlop Adrenaline Rush 108,108,27.5,10.6,13pts HL,291,27.0,1,63,16 Mains/19 Crosses,Head Light,1
436,Dunlop,Dunlop Adrenaline Rush 98,98,27.0,10.4,9pts HL,284,26.0,1,71,16 Mains/19 Crosses,Head Light,9
437,Dunlop,Dunlop Adrenaline Surge108,108,27.5,10.7,12pts HL,297,27.0,1,65,16 Mains/19 Crosses,Head Light,1
438,Dunlop,Dunlop Dunlop Spirit Midplus,100,27.0,10.2,1pts HL,304,24.0,1,69,16 Mains/19 Crosses,Head Light,1
439,Dunlop,Dunlop Dunlop Sprit Oversize,110,27.5,9.6,0pts EB,283,26.0,1,60,16 Mains/19 Crosses,Head Heavy,0
440,Dunlop,Dunlop Inferno Oversize,110,27.5,9.4,4pts HH,298,30.0,2,75,16 Mains/19 Crosses,Head Heavy,4
445,Dunlop,Dunlop Max Tech Midplus,95,27.0,9.9,3pts HH,312,26.0,2,73,16 Mains/19 Crosses,Head Heavy,3
448,Dunlop,Dunlop Muscle Weave 200g 100,100,27.5,11.6,7pts HL,335,22.0,1,64,18 Mains/20 Crosses,Head Light,7
449,Dunlop,Dunlop Muscle Weave 200g 95,95,27.0,12.0,7pts HL,315,20.0,0,59,18 Mains/20 Crosses,Head Light,7
450,Dunlop,Dunlop Muscle Weave 200g Oversize,108,27.5,9.5,6pts HH,316,27.0,2,71,18 Mains/20 Crosses,Head Heavy,6
451,Dunlop,Dunlop Quadro Midplus,102,27.25,10.1,1pts HL,300,26.0,1,65,16 Mains/19 Crosses,Head Light,1
452,Dunlop,Dunlop Quadro Oversize,110,27.5,10.1,2pts HL,298,26.0,1,60,16 Mains/19 Crosses,Head Light,2
453,Dunlop,Dunlop Revelation 200G +1.00,100,28.0,11.4,8pts HL,338,20.0,0,64,18 Mains/20 Crosses,Head Light,8
454,Dunlop,Dunlop Revelation Lite +1.50 Titanium,112,28.5,9.5,5pts HH,355,28.0,2,66,18 Mains/20 Crosses,Head Heavy,5
455,Dunlop,Dunlop Revelation Lite Titanium +0.50,95,27.5,9.0,5pts HH,307,25.0,0,66,16 Mains/19 Crosses,Head Heavy,5
456,Dunlop,Dunlop Revelation Lite Titanium +1.0,100,28.0,9.5,4pts HH,336,25.0,0,65,16 Mains/19 Crosses,Head Heavy,4
457,Dunlop,Dunlop Revelation Select Pro Midplus,95,27.0,12.5,6pts HL,335,20.0,0,65,16 Mains/19 Crosses,Head Light,6
465,Dunlop,Dunlop Vision Midplus,102,27.5,9.3,2pts HH,297,26.0,1,67,16 Mains/19 Crosses,Head Heavy,2
466,Dunlop,Dunlop Vision Oversize,110,27.5,9.3,5pts HH,304,26.0,1,67,16 Mains/19 Crosses,Head Heavy,5
467,Dunlop,Dunlop Aerogel Titan,101,27.0,9.6,2pts HL,290,25.0,0,67,16 Mains/19 Crosses,Head Light,2
468,Dunlop,Dunlop Aerogel Smoke,100,27.25,10.6,2pts HL,326,24.0,0,67,16 Mains/19 Crosses,Head Light,2
469,Dunlop,Dunlop Aerogel Rush,108,27.5,9.6,1pts HL,301,25.0,1,64,16 Mains/19 Crosses,Head Light,1
470,Dunlop,Dunlop Aerogel 4D 3Hundred Tour,98,27.0,11.3,5pts HL,318,20.0,0,63,18 Mains/20 Crosses,Head Light,5
471,Dunlop,Dunlop Aerogel 1Hundred 100,90,27.0,11.7,6pts HL,324,19.0,0,61,16 Mains/19 Crosses,Head Light,6
472,Dunlop,Dunlop Aerogel 4D Super-Lite,108,27.5,8.6,7pts HH,290,25.0,2,65,16 Mains/19 Crosses,Head Heavy,7
473,Dunlop,Dunlop Aerogel 4D 7Hundred,108,27.25,9.7,2pts HH,306,28.0,2,72,16 Mains/19 Crosses,Head Heavy,2
474,Dunlop,Dunlop Aerogel 4D 5Hundred Tour,100,27.0,11.3,2pts HL,325,25.0,0,71,16 Mains/18 Crosses,Head Light,2
475,Dunlop,Dunlop Aerogel 4D 5Hundred,100,27.0,10.2,0pts EB,300,25.0,1,66,16 Mains/18 Crosses,Head Heavy,0
476,Dunlop,Dunlop Aerogel 4D 3Hundred,98,27.0,10.9,3pts HL,320,21.0,0,60,16 Mains/19 Crosses,Head Light,3
477,Dunlop,Dunlop Aerogel 4D 2Hundred,95,27.0,11.9,7pts HL,337,20.0,0,62,18 Mains/20 Crosses,Head Light,7
478,Dunlop,Dunlop Aerogel 4D 5 Fifty Lite,100,27.25,9.4,1pts HH,299,25.0,1,69,16 Mains/19 Crosses,Head Heavy,1
479,Dunlop,Dunlop Aerogel 4D 100 (1 Hundred),90,27.0,11.6,8pts HL,308,19.0,0,62,16 Mains/19 Crosses,Head Light,8
480,Dunlop,Dunlop Aerogel 4D 200 Tour (2Hundred),95,27.0,12.3,5pts HL,352,20.0,0,60,16 Mains/18 Crosses,Head Light,5
481,Dunlop,Dunlop Aerogel 4D 3Hundred Lite,98,27.0,10.0,2pts HL,294,21.0,1,66,16 Mains/19 Crosses,Head Light,2
482,Dunlop,Dunlop Aerogel 4D 500 Lite,100,27.0,9.0,9pts HH,291,24.9,2,70,16 Mains/18 Crosses,Head Heavy,9
483,Dunlop,Dunlop Aerogel 4D 200 (2Hundred),95,27.0,11.9,7pts HL,337,20.0,0,62,18 Mains/20 Crosses,Head Light,7
484,Dunlop,Dunlop Biomimetic 600 Lite - 2011,105,27.25,10.01,3pts HH,316,26.0,2,69,16 Mains/19 Crosses,Head Heavy,3
485,Dunlop,Dunlop Biomimetic 300 Tour - 2010,97,27.0,11.3,6pts HL,304,20.0,0,64,18 Mains/20 Crosses,Head Light,6
486,Dunlop,Dunlop Biomimetic 200 Plus - 2010,100,27.0,11.5,4pts HL,317,20.0,0,65,18 Mains/20 Crosses,Head Light,4
487,Dunlop,Dunlop Biomimetic 600 - 2011,102,27.0,10.4,2pts HL,300,25.0,1,71,16 Mains/19 Crosses,Head Light,2
488,Dunlop,Dunlop Biomimetic 300 - 2011,98,27.0,10.9,2pts HL,308,21.0,0,66,16 Mains/19 Crosses,Head Light,2
489,Dunlop,Dunlop Biomimetic 200 Lite - 2011,95,27.0,11.5,6pts HL,308,21.0,0,57,16 Mains/19 Crosses,Head Light,6
490,Dunlop,Dunlop Biomimetic 500 Tour - 2011,100,27.0,11.0,3pts HL,313,25.0,1,65,16 Mains/18 Crosses,Head Light,3
491,Dunlop,Dunlop Biomimetic 500 - 2011,100,27.0,10.3,1pts HH,311,25.0,1,66,16 Mains/18 Crosses,Head Heavy,1
492,Dunlop,Dunlop Biomimetic 500 Plus - 2011,110,27.5,9.3,6pts HH,314,28.5,2,67,16 Mains/19 Crosses,Head Heavy,6
493,Dunlop,Dunlop Biomimetic 200 - 2011,95,27.0,11.9,6pts HL,322,20.5,0,57,18 Mains/20 Crosses,Head Light,6
494,Dunlop,Dunlop Biomimetic 200 Tour - 2011,95,27.0,12.5,5pts HL,345,20.0,0,61,16 Mains/18 Crosses,Head Light,5
495,Dunlop,Dunlop Biomimetic 100 - 2011,90,27.0,11.7,5pts HL,323,19.0,0,61,16 Mains/19 Crosses,Head Light,5
496,Dunlop,Dunlop Biomimetic 400 Tour - 2011,100,27.0,11.6,9pts HL,306,24.0,1,66,16 Mains/19 Crosses,Head Light,9
497,Dunlop,Dunlop Biomimetic 400 - 2011,100,27.0,10.9,6pts HL,305,24.0,1,67,16 Mains/19 Crosses,Head Light,6
498,Dunlop,Dunlop Biomimetic 400 Lite - 2011,100,27.0,10.1,2pts HL,298,24.0,1,67,16 Mains/19 Crosses,Head Light,2
499,Dunlop,Dunlop Biomimetic 700 - 2012,110,27.25,9.6,0pts EB,297,28.0,2,63,16 Mains/19 Crosses,Head Heavy,0
500,Yonex,Yonex RQiS 2 Tour,100,27.5,10.8,4pts HL,326,28.0,0,67,16 Mains/18 Crosses,Head Light,4
506,Yonex,Yonex RQiS 1 Tour,95,27.0,11.9,9pts HL,325,25.0,0,61,16 Mains/18 Crosses,Head Light,9
507,Yonex,Yonex RDS 002,98,27.0,10.9,6pts HL,308,22.0,0,65,16 Mains/19 Crosses,Head Light,6
511,Yonex,Yonex RDS 001 Midplus,90,27.0,12.0,9pts HL,321,20.0,0,66,16 Mains/18 Crosses,Head Light,9
513,Yonex,Yonex MP-Tour 1 Midplus,98,27.0,12.0,6pts HL,322,20.0,0,65,16 Mains/19 Crosses,Head Light,6
514,Yonex,Yonex MP-Tour 1 Midsize,90,27.0,12.0,6pts HL,326,20.0,0,64,16 Mains/18 Crosses,Head Light,6
517,Yonex,Yonex RQ Speed 30,102,27.0,9.6,2pts HH,295,27.0,1,67,16 Mains/19 Crosses,Head Heavy,2
524,Yonex,Yonex MP-Tour 1 XF,98,27.5,11.3,5pts HL,329,20.0,0,65,16 Mains/19 Crosses,Head Light,5
525,Yonex,Yonex MP-Tour 5,98,27.5,11.2,10pts HL,309,20.0,0,59,16 Mains/18 Crosses,Head Light,1
568,Yonex,Yonex S-Fit 3,105,27.25,10.2,0pts EB,310,28.0,1,68,16 Mains/19 Crosses,Head Heavy,0
569,Yonex,Yonex S-Fit 1,100,27.0,11.1,6pts HL,305,26.0,1,66,16 Mains/19 Crosses,Head Light,6
570,Yonex,Yonex S-Fit 5,112,27.25,9.9,2pts HH,309,28.0,2,67,16 Mains/19 Crosses,Head Heavy,2
571,Yonex,Yonex S-Fit 1 Lite,100,27.0,10.6,3pts HL,304,26.5,1,69,16 Mains/19 Crosses,Head Light,3
572,Yonex,Yonex RQiS 30,102,27.0,9.6,1pts HL,238,26.0,0,63,16 Mains/18 Crosses,Head Light,1
573,Yonex,Yonex RQiS 10,102,27.5,10.06,2pts HL,320,26.0,1,65,16 Mains/18 Crosses,Head Light,2
574,Yonex,Yonex RDiS 200,98,27.0,11.7,7pts HL,326,22.0,0,61,16 Mains/19 Crosses,Head Light,7
575,Yonex,Yonex RDiS 200 Lite,98,27.0,11.0,4pts HL,315,22.0,1,62,16 Mains/19 Crosses,Head Light,4
576,Yonex,Yonex Ultimum RD Ti 80,98,27.0,12.1,8pts HL,315,20.5,0,60,16 Mains/19 Crosses,Head Light,8
577,Yonex,Yonex V-Con x18,100,27.0,10.5,3pts HH,313,26.5,1,62,16 Mains/18 Crosses,Head Heavy,3
578,Yonex,Yonex EZONE 107,107,27.0,10.4,1pts HL,301,28.5,1,67,16 Mains/18 Crosses,Head Light,1
579,Yonex,Yonex EZONE 100,100,27.0,11.0,6pts HL,300,27.0,0,68,16 Mains/18 Crosses,Head Light,6
580,Yonex,Yonex EZONE 100 Lite,100,27.0,10.2,3pts HL,291,27.0,1,64,16 Mains/18 Crosses,Head Light,3
581,Yonex,Yonex RD Ti 80 Lite,98,27.0,11.6,7pts HL,311,20.5,0,61,16 Mains/19 Crosses,Head Light,7
582,Yonex,Yonex V Core 95 D,95,27.0,11.9,7pts HL,317,21.5,0,63,16 Mains/20 Crosses,Head Light,7
583,Yonex,Yonex V Core 98 D,98,27.0,11.3,6pts HL,309,22.5,0,65,16 Mains/20 Crosses,Head Light,6
584,Yonex,Yonex V Core 100 S,100,27.0,11.1,5pts HL,306,24.5,0,68,16 Mains/19 Crosses,Head Light,5
585,Yonex,Yonex EZONE Team Plus 102,102,27.5,9.8,4pts HL,296,26.5,1,59,16 Mains/18 Crosses,Head Light,4
586,Yonex,Yonex EZONE Team 102,102,27.0,9.7,1pts HH,295,26.5,2,60,16 Mains/18 Crosses,Head Heavy,1
587,Yonex,Yonex EZONE Rally,107,27.0,10.1,1pts HH,293,26.0,2,63,16 Mains/19 Crosses,Head Heavy,1
588,Yonex,Yonex V Core Team,98,27.0,10.4,1pts HL,299,24.0,1,64,16 Mains/20 Crosses,Head Light,1
589,Yonex,Yonex EZONE Xi 98 - 2012,98,27.0,11.5,6pts HL,324,24.5,0,63,16 Mains/19 Crosses,Head Light,6
590,Yonex,Yonex EZONE Xi 100 - 2012,100,27.0,11.0,3pts HL,312,27.0,0,67,16 Mains/18 Crosses,Head Light,3
591,Yonex,Yonex EZONE Xi Lite - 2012,100,27.0,10.2,2pts HL,299,26.5,1,65,16 Mains/18 Crosses,Head Light,2
592,Yonex,Yonex EZONE Xi 107 - 2012,107,27.0,10.5,1pts HL,307,29.0,1,68,16 Mains/18 Crosses,Head Light,1
593,Yonex,Yonex EZONE Xi 115 - 2012,115,27.25,9.5,8pts HH,321,30.0,2,65,16 Mains/18 Crosses,Head Heavy,8
594,Yonex,Yonex EZONE Xi Team+ 102 - 2012,102,27.5,10.0,5pts HL,298,26.5,1,61,16 Mains/18 Crosses,Head Light,5
595,Yonex,Yonex EZONE Xi Rally - 2012,107,27.0,10.2,0pts EB,294,26.0,1,64,16 Mains/19 Crosses,Head Heavy,0
596,Yonex,Yonex EZONE Xi Team 102 - 2012,102,27.0,9.7,0pts EB,292,26.5,1,64,16 Mains/18 Crosses,Head Heavy,0
597,Yonex,Yonex VCORE Tour 97 - 2012,97,27.0,12.3,8pts HL,332,20.5,0,66,16 Mains/20 Crosses,Head Light,8
598,Yonex,Yonex VCORE Tour 89 - 2012,89,27.0,12.1,8pts HL,335,20.5,0,64,16 Mains/20 Crosses,Head Light,8
599,Yonex,Yonex VCORE Tour 97 (310g) - 2012,97,27.0,11.5,7pts HL,314,20.5,0,67,16 Mains/20 Crosses,Head Light,7
601,Tecnifibre,Tecnifibre TFeel 305 XL,97,27.5,11.1,0pts EB,350,22.0,1,68,16 Mains/19 Crosses,Head Heavy,0
602,Tecnifibre,Tecnifibre TFeel 305,97,27.0,11.3,2pts HL,329,22.0,0,68,16 Mains/19 Crosses,Head Light,2
603,Tecnifibre,Tecnifibre TFeel 290 XL,102,27.5,10.5,0pts EB,331,23.0,1,70,14 Mains/18 Crosses,Head Heavy,0
605,Tecnifibre,Tecnifibre TFeel 305 18x20,97,27.0,11.3,2pts HL,331,22.0,0,68,18 Mains/20 Crosses,Head Light,2
606,Tecnifibre,Tecnifibre TFight 320 XL,97,27.5,11.9,5pts HL,336,20.0,0,63,18 Mains/20 Crosses,Head Light,5
607,Tecnifibre,Tecnifibre TFight 325,98,27.4,12.2,12pts HL,335,20.0,0,59,18 Mains/20 Crosses,Head Light,1
608,Tecnifibre,Tecnifibre TFight 315,97,27.0,11.5,6pts HL,318,22.0,0,65,16 Mains/19 Crosses,Head Light,6
609,Tecnifibre,Tecnifibre TFlash 310,100,27.0,11.5,6pts HL,321,24.0,1,67,16 Mains/19 Crosses,Head Light,6
610,Tecnifibre,Tecnifibre Tflash 270 OS,110,27.5,10.2,3pts HL,315,25.0,1,68,16 Mains/20 Crosses,Head Light,3
611,Tecnifibre,Tecnifibre TFlash 310 18x20,100,27.0,11.5,6pts HL,321,24.0,1,67,18 Mains/20 Crosses,Head Light,6
612,Tecnifibre,Tecnifibre TFight 320 16x20,97,27.0,11.7,8pts HL,307,20.0,0,64,16 Mains/20 Crosses,Head Light,8
613,Tecnifibre,Tecnifibre Tfight 335 16x20,97,27.0,12.4,10pts HL,320,20.0,0,63,16 Mains/20 Crosses,Head Light,1
614,Tecnifibre,Tecnifibre TFight 320 18x20,97,27.0,11.7,8pts HL,308,20.0,0,64,18 Mains/20 Crosses,Head Light,8
615,Tecnifibre,Tecnifibre TFight 335 18x20,97,27.0,12.4,10pts HL,320,20.0,0,63,18 Mains/20 Crosses,Head Light,1
616,Tecnifibre,Tecnifibre TFight 325 XL VO2 Max,95,27.5,12.0,14pts HL,340,22.0,0,69,18 Mains/19 Crosses,Head Light,1
617,Tecnifibre,Tecnifibre TFight 325 VO2 Max,95,27.0,12.1,7pts HL,326,22.0,0,68,18 Mains/19 Crosses,Head Light,7
618,Tecnifibre,Tecnifibre TFight 320 VO2 Max,95,27.0,11.9,7pts HL,324,22.0,0,66,16 Mains/19 Crosses,Head Light,7
619,Tecnifibre,Tecnifibre TFlash 315 VO2 Max,100,27.0,11.6,6pts HL,322,25.0,0,61,16 Mains/20 Crosses,Head Light,6
620,Tecnifibre,Tecnifibre TFight 295 VO2 Max,95,27.0,11.0,3pts HL,316,22.0,0,66,16 Mains/19 Crosses,Head Light,3
621,Tecnifibre,Tecnifibre TFlash 290 VO2 Max,100,27.0,10.9,3pts HL,315,24.0,1,69,16 Mains/19 Crosses,Head Light,3
622,Tecnifibre,Tecnifibre TFlash 315 SpeedFlex,100,27.0,11.7,7pts HL,325,24.0,1,70,16 Mains/19 Crosses,Head Light,7
623,Tecnifibre,Tecnifibre TFlash 300 Speedflex,100,27.0,11.1,4pts HL,320,24.0,1,72,16 Mains/19 Crosses,Head Light,4
624,Tecnifibre,Tecnifibre TFight 305 VO2 Max,95,27.0,11.3,3pts HL,323,22.0,0,69,18 Mains/19 Crosses,Head Light,3
625,Tecnifibre,Tecnifibre Rebound Pro,95,27.0,11.0,3pts HL,300,22.0,0,69,16 Mains/19 Crosses,Head Light,3
626,Tecnifibre,Tecnifibre TFight 320 VO2 Max 2012,95,27.0,11.9,7pts HL,324,22.0,0,66,16 Mains/19 Crosses,Head Light,7
627,Tecnifibre,Tecnifibre TFight 255,100,27.0,9.9,0pts EB,296,23.0,1,68,16 Mains/20 Crosses,Head Heavy,0
628,Tecnifibre,Tecnifibre TFight 315 Ltd. 18 Main,98,27.0,11.7,6pts HL,309,20.0,0,61,18 Mains/20 Crosses,Head Light,6
629,Tecnifibre,Tecnifibre TFight 315 Ltd. 16 Main,98,27.0,11.6,7pts HL,301,20.0,0,59,16 Mains/19 Crosses,Head Light,7
630,Tecnifibre,Tecnifibre TRebound 265 Pro\\Racquets 2013,105,27.0,10.1,3pts HH,313,25.0,1,72,16 Mains/19 Crosses,Head Heavy,3
631,Tecnifibre,Tecnifibre TRebound 295 ProRacquets 2013,100,27.0,11.1,2pts HL,330,25.0,0,71,16 Mains/20 Crosses,Head Light,2
632,Tecnifibre,2013/Tecnifibre TFight 295 MP,100,27.0,10.8,3pts HL,308,22.5,0,70,16 Mains/20 Crosses,Head Light,3
633,Tecnifibre,2013/Tecnifibre TFight 295 TP,95,27.0,10.9,3pts HL,309,22.5,0,69,16 Mains/19 Crosses,Head Light,3
634,Tecnifibre,Tecnifibre TFlash 300 ATP,100,27.1,11.2,4pts HL,314,24.5,1,72,16 Mains/19 Crosses,Head Light,4
635,Tecnifibre,Tecnifibre TFlash 315 ATP,100,27.0,11.7,6pts HL,322,24.5,1,71,16 Mains/19 Crosses,Head Light,6
636,Tecnifibre,Tecnifibre TRebound 295 Pro,100,27.0,11.1,4pts HL,314,23.0,0,71,16 Mains/20 Crosses,Head Light,4
637,Tecnifibre,Tecnifibre TFight 295 DYNACORE,100,27.0,10.9,3pts HL,310,23.0,0,68,16 Mains/20 Crosses,Head Light,3
638,Tecnifibre,Tecnifibre TFight 300 DYNACORE,98,27.0,11.2,4pts HL,316,22.0,0,68,16 Mains/19 Crosses,Head Light,4
