Manufacturer,Name,Headsize (sq_inch),Length (inn),Strung Weight (oz),Balance,Swingweight,Beamwidth,Power Level,Stiffness,Stringing Pattern
Babolat,Babolat AeroPro Drive GT Plus,100,27.50,11.20,6pts HL,339,26.0,Low-Medium,69,16 Mains/19 Crosses
Babolat,Babolat XS 102,102,27.00,10.10,5pts HH,328,30.0,Medium-High,66,16 Mains/20 Crosses
Babolat,Babolat XS 109,109,27.20,9.50,7pts HH,325,33.0,Low-Medium,61,16 Mains/20 Crosses
Babolat,Babolat Pure Drive Roddick Junior 26 (Even),100,26.00,9.40,2pts HH,271,26.0,Medium,66,16 Mains/19 Crosses
Wilson,Wilson KFive 98,98,27.25,10.30,8pts HH,345,26.0,Medium,51,16 Mains/20 Crosses
Wilson,Wilson KFive 108,108,27.25,10.30,9pts HH,346,26.0,Medium-High,50,16 Mains/20 Crosses
Wilson,Wilson n5 Force Oversize,110,27.25,10.10,10pts HH,335,26.5,Medium,55,16 Mains/20 Crosses
Wilson,Wilson nTour 105,105,27.25,10.50,2pts HH,344,24.0,Medium,65,16 Mains/20 Crosses
Wilson,Wilson nTour 95,95,27.25,10.70,0pts EB,330,22.0,Low-Medium,61,16 Mains/20 Crosses
Wilson,Wilson nTour Two 105,105,27.25,10.40,3pts HH,339,24.0,Medium,65,16 Mains/20 Crosses
Wilson,Wilson n5 Force Midplus,98,27.25,9.80,9pts HH,322,25.5,Medium,55,16 Mains/20 Crosses
Wilson,Wilson nBlade Midplus,98,27.00,11.10,2pts HL,340,21.0,Low,58,18 Mains/20 Crosses
Wilson,Wilson KTour,95,27.25,10.60,1pts HH,331,22.0,Low,64,16 Mains/20 Crosses
Wilson,Wilson Hyper Hammer 6.2 Midplus,95,27.25,9.80,6pts HH,328,25.0,Low-Medium,61,16 Mains/20 Crosses
Wilson,Wilson Hyper Hammer 6.3 Mid Traditional,95,27.00,9.90,8pts HH,342,0.0,Low-Medium,66,16 Mains/18 Crosses
Wilson,Wilson n6 Midplus,95,27.00,9.80,7pts HH,326,0.0,Medium,60,16 Mains/18 Crosses
Wilson,Wilson nVision,103,27.25,9.80,4pts HH,324,25.0,Medium,62,16 Mains/20 Crosses
Wilson,Wilson nTour Two nCode,95,27.25,10.60,1pts HL,320,22.0,Low-Medium,62,16 Mains/20 Crosses
Wilson,Wilson nBlade Oversize,106,27.30,11.10,4pts HL,335,22.0,Low,60,18 Mains/19 Crosses
Wilson,Wilson n4 Midplus,101,27.50,9.80,4pts HH,327,28.0,Medium-High,65,16 Mains/19 Crosses
Wilson,Wilson KSix-One Team,95,27.00,10.90,0pts EB,325,21.0,Low-Medium,59,18 Mains/20 Crosses
Wilson,Wilson n3,113,27.50,9.70,7pts HH,328,30.0,High,47,16 Mains/19 Crosses
Wilson,Wilson W3 Gypsy Rose,113,27.50,9.70,7pts HH,328,31.0,High,47,16 Mains/19 Crosses
Wilson,Wilson KBlade Team,104,27.30,10.70,4pts HL,320,22.0,Low,57,18 Mains/19 Crosses
Wilson,Wilson nPro Open X,100,27.50,11.30,8pts HL,328,26.0,Low-Medium,66,16 Mains/19 Crosses
Wilson,Wilson Hyper Hammer 6.3 Oversize Traditional,110,27.50,9.80,7pts HH,333,0.0,Medium,63,18 Mains/19 Crosses
Wilson,Wilson KBlade 98,98,27.00,11.10,3pts HL,325,20.0,Low,67,18 Mains/20 Crosses
Wilson,Wilson KFour 112,112,27.50,9.90,8pts HH,345,28.0,Medium-High,73,16 Mains/20 Crosses
Wilson,Wilson PS Blitz,100,27.00,9.90,2pts HH,307,26.0,Low,57,16 Mains/19 Crosses
Wilson,Wilson Hyper Hammer 5.3 Stretch Midplus,95,27.50,10.20,3pts HH,327,0.0,Medium,75,16 Mains/20 Crosses
Wilson,Wilson ProStaff Tour 95,95,27.00,11.50,7pts HL,325,20.0,Low,62,18 Mains/20 Crosses
Wilson,Wilson n5 Oversize,110,27.25,9.80,7pts HH,312,0.0,Medium,59,16 Mains/20 Crosses
Wilson,Wilson KFour 105,105,27.25,10.10,3pts HH,322,28.0,Medium,73,16 Mains/19 Crosses
Wilson,Wilson Hyper Hammer 6.2 Oversize,110,27.50,9.60,6pts HH,318,27.0,Low-Medium,63,16 Mains/20 Crosses
Wilson,Wilson KZen,103,27.25,9.90,1pts HL,310,26.0,Low-Medium,70,16 Mains/19 Crosses
Wilson,Wilson nSix-Two Oversize,113,27.50,10.20,1pts HL,325,28.0,Medium,69,16 Mains/20 Crosses
Wilson,Wilson KThree,115,27.50,9.50,8pts HH,317,0.0,High,49,16 Mains/19 Crosses
Wilson,Wilson KSix-Two,100,27.00,10.50,3pts HL,310,0.0,Low-Medium,68,16 Mains/19 Crosses
Wilson,Wilson KZen Team,103,27.25,10.20,1pts HH,312,26.0,Low-Medium,70,16 Mains/19 Crosses
Wilson,Wilson H Blaze,95,27.25,9.70,7pts HH,303,0.0,Low,61,16 Mains/18 Crosses
Wilson,Wilson nFury Midplus,100,27.00,9.90,2pts HL,295,0.0,Low-Medium,50,16 Mains/20 Crosses
Wilson,Wilson nFury Two Midplus,100,27.00,10.10,2pts HL,294,22.0,Low-Medium,50,16 Mains/20 Crosses
Wilson,Wilson  nSix-Two Midplus,100,27.00,10.50,4pts HL,302,26.0,Low-Medium,65,16 Mains/19 Crosses
Wilson,Wilson nSix-One 95,95,27.00,12.20,10pts HL,330,22.0,Low,65,16 Mains/18 Crosses
Wilson,Wilson KPro Open,100,27.00,11.00,5pts HL,306,26.0,Low-Medium,66,16 Mains/19 Crosses
Wilson,Wilson KBlade Tour,93,27.00,11.80,8pts HL,323,20.0,Low,65,18 Mains/20 Crosses
Wilson,Wilson KSix-One 95 (16x18),95,27.00,12.30,8pts HL,340,22.0,Low,69,16 Mains/18 Crosses
Wilson,Wilson Ksting,105,27.25,9.60,1pts HH,298,26.0,Low-Medium,58,16 Mains/19 Crosses
Wilson,Wilson KSurge,100,27.00,10.30,1pts HL,301,25.0,Medium,68,16 Mains/19 Crosses
Wilson,Wilson KSix-One 95 (18x20),95,27.00,12.30,8pts HL,340,22.0,Low,69,18 Mains/20 Crosses
Wilson,Wilson  W4 Cobalt Storm,107,27.25,9.70,5pts HH,306,26.0,Medium-High,67,16 Mains/18 Crosses
Wilson,Wilson  W4 Red Fury,107,27.25,9.70,5pts HH,306,26.0,Medium-High,67,16 Mains/18 Crosses
Wilson,Wilson W4 Savage Lime,107,27.25,9.70,5pts HH,306,26.0,Medium-High,67,16 Mains/18 Crosses
Wilson,Wilson  W4 Savage Saphire,107,27.25,9.70,5pts HH,306,26.0,Medium-High,67,16 Mains/18 Crosses
Wilson,Wilson  W2 Black Whisper,117,27.50,9.50,6pts HH,318,27.0,High,65,16 Mains/18 Crosses
Wilson,Wilson  W2 Blue Shadow,117,27.50,9.50,6pts HH,318,27.0,High,65,16 Mains/18 Crosses
Wilson,Wilson  W2 Spicy Ruby,117,27.50,9.50,6pts HH,318,27.0,High,65,16 Mains/18 Crosses
Wilson,Wilson KSix-One 95 X,95,27.50,12.30,7pts HL,360,22.0,Low,68,16 Mains/18 Crosses
Wilson,Wilson nPro ,98,27.00,11.00,4pts HL,308,23.0,Low-Medium,68,18 Mains/18 Crosses
Wilson,Wilson H Cyclone,115,27.90,9.20,12pts HH,343,29.0,High,74,16 Mains/19 Crosses
Wilson,Wilson KPro Tour,96,27.00,11.40,8pts HL,300,24.0,Low,62,16 Mains/20 Crosses
Wilson,Wilson H Rival Oversize,112,27.50,9.00,8pts HH,318,28.0,Medium-High,67,16 Mains/20 Crosses
Wilson,Wilson Pro Staff Trance Midplus,95,27.00,9.90,2pts HH,301,24.0,Medium,69,16 Mains/19 Crosses
Wilson,Wilson nPro Open nCode,100,27.00,11.10,6pts HL,302,26.0,Low-Medium,68,16 Mains/19 Crosses
Wilson,Wilson KSix-One Tour 90,90,27.00,12.50,9pts HL,336,18.0,Low,67,16 Mains/19 Crosses
Wilson,Wilson n1 nCode,115,28.00,9.10,10pts HH,331,0.0,High,71,16 Mains/19 Crosses
