,Manufacturer,Name,Headsize (sq_inch),Length (inn),Strung Weight (oz),Balance,Swingweight,Beamwidth,Power Level,Stiffness,Stringing Pattern,HL or HH,Points of Balance,new_old
591,Yonex,Yonex EZONE Xi Lite - 2012,100,27,10.2,2pts HL,299,26.5,1,65,16 Mains/18 Crosses,Head Light,2,Classic
592,Yonex,Yonex EZONE Xi 107 - 2012,107,27,10.5,1pts HL,307,29,1,68,16 Mains/18 Crosses,Head Light,1,Classic
593,Yonex,Yonex EZONE Xi 115 - 2012,115,27.25,9.5,8pts HH,321,30,2,65,16 Mains/18 Crosses,Head Heavy,8,Classic
594,Yonex,Yonex EZONE Xi Team+ 102 - 2012,102,27.5,10,5pts HL,298,26.5,1,61,16 Mains/18 Crosses,Head Light,5,Classic
595,Yonex,Yonex EZONE Xi Rally - 2012,107,27,10.2,0pts EB,294,26,1,64,16 Mains/19 Crosses,Head Heavy,0,Classic
596,Yonex,Yonex EZONE Xi Team 102 - 2012,102,27,9.7,0pts EB,292,26.5,1,64,16 Mains/18 Crosses,Head Heavy,0,Classic
597,Yonex,Yonex VCORE Tour 97 - 2012,97,27,12.3,8pts HL,332,20.5,0,66,16 Mains/20 Crosses,Head Light,8,Classic
598,Yonex,Yonex VCORE Tour 89 - 2012,89,27,12.1,8pts HL,335,20.5,0,64,16 Mains/20 Crosses,Head Light,8,Classic
599,Yonex,Yonex VCORE Tour 97 (310g) - 2012,97,27,11.5,7pts HL,314,20.5,0,67,16 Mains/20 Crosses,Head Light,7,Classic
601,Tecnifibre,Tecnifibre TFeel 305 XL,97,27.5,11.1,0pts EB,350,22,1,68,16 Mains/19 Crosses,Head Heavy,0,Classic
602,Tecnifibre,Tecnifibre TFeel 305,97,27,11.3,2pts HL,329,22,0,68,16 Mains/19 Crosses,Head Light,2,Classic
603,Tecnifibre,Tecnifibre TFeel 290 XL,102,27.5,10.5,0pts EB,331,23,1,70,14 Mains/18 Crosses,Head Heavy,0,Classic
605,Tecnifibre,Tecnifibre TFeel 305 18x20,97,27,11.3,2pts HL,331,22,0,68,18 Mains/20 Crosses,Head Light,2,Classic
606,Tecnifibre,Tecnifibre TFight 320 XL,97,27.5,11.9,5pts HL,336,20,0,63,18 Mains/20 Crosses,Head Light,5,Classic
607,Tecnifibre,Tecnifibre TFight 325,98,27.4,12.2,12pts HL,335,20,0,59,18 Mains/20 Crosses,Head Light,1,Classic
608,Tecnifibre,Tecnifibre TFight 315,97,27,11.5,6pts HL,318,22,0,65,16 Mains/19 Crosses,Head Light,6,Classic
609,Tecnifibre,Tecnifibre TFlash 310,100,27,11.5,6pts HL,321,24,1,67,16 Mains/19 Crosses,Head Light,6,Classic
610,Tecnifibre,Tecnifibre Tflash 270 OS,110,27.5,10.2,3pts HL,315,25,1,68,16 Mains/20 Crosses,Head Light,3,Classic
611,Tecnifibre,Tecnifibre TFlash 310 18x20,100,27,11.5,6pts HL,321,24,1,67,18 Mains/20 Crosses,Head Light,6,Classic
612,Tecnifibre,Tecnifibre TFight 320 16x20,97,27,11.7,8pts HL,307,20,0,64,16 Mains/20 Crosses,Head Light,8,Classic
613,Tecnifibre,Tecnifibre Tfight 335 16x20,97,27,12.4,10pts HL,320,20,0,63,16 Mains/20 Crosses,Head Light,1,Classic
614,Tecnifibre,Tecnifibre TFight 320 18x20,97,27,11.7,8pts HL,308,20,0,64,18 Mains/20 Crosses,Head Light,8,Classic
615,Tecnifibre,Tecnifibre TFight 335 18x20,97,27,12.4,10pts HL,320,20,0,63,18 Mains/20 Crosses,Head Light,1,Classic
616,Tecnifibre,Tecnifibre TFight 325 XL VO2 Max,95,27.5,12,14pts HL,340,22,0,69,18 Mains/19 Crosses,Head Light,1,Classic
617,Tecnifibre,Tecnifibre TFight 325 VO2 Max,95,27,12.1,7pts HL,326,22,0,68,18 Mains/19 Crosses,Head Light,7,Classic
618,Tecnifibre,Tecnifibre TFight 320 VO2 Max,95,27,11.9,7pts HL,324,22,0,66,16 Mains/19 Crosses,Head Light,7,Classic
619,Tecnifibre,Tecnifibre TFlash 315 VO2 Max,100,27,11.6,6pts HL,322,25,0,61,16 Mains/20 Crosses,Head Light,6,Classic
620,Tecnifibre,Tecnifibre TFight 295 VO2 Max,95,27,11,3pts HL,316,22,0,66,16 Mains/19 Crosses,Head Light,3,Classic
621,Tecnifibre,Tecnifibre TFlash 290 VO2 Max,100,27,10.9,3pts HL,315,24,1,69,16 Mains/19 Crosses,Head Light,3,Classic
622,Tecnifibre,Tecnifibre TFlash 315 SpeedFlex,100,27,11.7,7pts HL,325,24,1,70,16 Mains/19 Crosses,Head Light,7,Classic
623,Tecnifibre,Tecnifibre TFlash 300 Speedflex,100,27,11.1,4pts HL,320,24,1,72,16 Mains/19 Crosses,Head Light,4,Classic
624,Tecnifibre,Tecnifibre TFight 305 VO2 Max,95,27,11.3,3pts HL,323,22,0,69,18 Mains/19 Crosses,Head Light,3,Classic
625,Tecnifibre,Tecnifibre Rebound Pro,95,27,11,3pts HL,300,22,0,69,16 Mains/19 Crosses,Head Light,3,Classic
626,Tecnifibre,Tecnifibre TFight 320 VO2 Max 2012,95,27,11.9,7pts HL,324,22,0,66,16 Mains/19 Crosses,Head Light,7,Classic
627,Tecnifibre,Tecnifibre TFight 255,100,27,9.9,0pts EB,296,23,1,68,16 Mains/20 Crosses,Head Heavy,0,Classic
628,Tecnifibre,Tecnifibre TFight 315 Ltd. 18 Main,98,27,11.7,6pts HL,309,20,0,61,18 Mains/20 Crosses,Head Light,6,Classic
629,Tecnifibre,Tecnifibre TFight 315 Ltd. 16 Main,98,27,11.6,7pts HL,301,20,0,59,16 Mains/19 Crosses,Head Light,7,Classic
630,Tecnifibre,Tecnifibre TRebound 265 Pro\\Racquets 2013,105,27,10.1,3pts HH,313,25,1,72,16 Mains/19 Crosses,Head Heavy,3,Classic
631,Tecnifibre,Tecnifibre TRebound 295 ProRacquets 2013,100,27,11.1,2pts HL,330,25,0,71,16 Mains/20 Crosses,Head Light,2,Classic
632,Tecnifibre,2013/Tecnifibre TFight 295 MP,100,27,10.8,3pts HL,308,22.5,0,70,16 Mains/20 Crosses,Head Light,3,Classic
633,Tecnifibre,2013/Tecnifibre TFight 295 TP,95,27,10.9,3pts HL,309,22.5,0,69,16 Mains/19 Crosses,Head Light,3,Classic
634,Tecnifibre,Tecnifibre TFlash 300 ATP,100,27.1,11.2,4pts HL,314,24.5,1,72,16 Mains/19 Crosses,Head Light,4,Classic
635,Tecnifibre,Tecnifibre TFlash 315 ATP,100,27,11.7,6pts HL,322,24.5,1,71,16 Mains/19 Crosses,Head Light,6,Classic
636,Tecnifibre,Tecnifibre TRebound 295 Pro,100,27,11.1,4pts HL,314,23,0,71,16 Mains/20 Crosses,Head Light,4,Classic
637,Tecnifibre,Tecnifibre TFight 295 DYNACORE,100,27,10.9,3pts HL,310,23,0,68,16 Mains/20 Crosses,Head Light,3,Classic
638,Tecnifibre,Tecnifibre TFight 300 DYNACORE,98,27,11.2,4pts HL,316,22,0,68,16 Mains/19 Crosses,Head Light,4,Classic
639,Tecnifibre,Tecnifibre TFight 305 DYNACORE,95,27,11.3,4pts HL,313,22,0,68,18 Mains/19 Crosses,Head Light,4,Classic
640,Tecnifibre,Tecnifibre TFight 315 DYNACORE,98,27,11.7,7pts HL,311,22.5,0,67,16 Mains/19 Crosses,Head Light,7,Classic
641,Tecnifibre,Tecnifibre TFight 325 DYNACORE ,95,27,12,7pts HL,316,22,0,68,18 Mains/19 Crosses,Head Light,7,Classic
642,Tecnifibre,Tecnifibre TFlash 300 Dynacore ATP,100,27,11.2,4pts HL,318,24.5,1,71,16 Mains/19 Crosses,Head Light,4,Classic
643,Tecnifibre,Tecnifibre TFlash 315 Dynacore ,100,27,11.7,7pts HL,319,24.5,0,71,16 Mains/19 Crosses,Head Light,7,Classic
645,Tecnifibre,Tecnifibre TFight DC 315,98,27,11.7,7pts HL,310,22.5,0,67,19 Mains/19 Crosses,Head Light,7,Classic
646,Tecnifibre,Tecnifibre TFight DC 320,98,27,11.9,7pts HL,326,22.5,0,68,18 Mains/19 Crosses,Head Light,7,Classic
648,Tecnifibre,Tecnifibre TFlash 300 PS,100,27,11.2,4pts HL,313,25,0,71,16 Mains/19 Crosses,Head Light,4,Classic
649,Tecnifibre,Tecnifibre TFlash 285 PS,100,27,10.7,1pts HL,307,25,0,68,16 Mains/19 Crosses,Head Light,1,Classic
650,Tecnifibre,Tecnifibre TFlash 270 PS,100,27,10.2,0pts EB,301,25,1,68,16 Mains/19 Crosses,Head Heavy,0,Classic
651,Tecnifibre,Tecnifibre TFight DC 315 Ltd. (16x19),98,27,11.7,7pts HL,308,20,0,62,16 Mains/19 Crosses,Head Light,7,Classic
652,Tecnifibre,Tecnifibre TFight DC 315 Ltd. (18x20),98,27,11.7,7pts HL,310,20,0,62,18 Mains/20 Crosses,Head Light,7,Classic
656,Tecnifibre,Tecnifibre T. Rebound Tempo 255,100,26.6,9.5,1pts HH,285,25,1,68,16 Mains/19 Crosses,Head Heavy,1,Classic
657,Tecnifibre,Tecnifibre ATP TFight 265 XTC,100,27,9.9,1pts HL,308,23.5,0,66,16 Mains/19 Crosses,Head Light,1,Classic
658,Tecnifibre,Tecnifibre ATP TFight 280 XTC,100,27,10.5,3pts HL,304,23.5,0,68,16 Mains/19 Crosses,Head Light,3,Classic
659,Tecnifibre,Tecnifibre ATP TFight 295 XTC,100,27,11,3pts HL,317,23.5,0,69,16 Mains/19 Crosses,Head Light,3,Classic
660,Tecnifibre,Tecnifibre ATP TFight 300 XTC,98,27,11.2,4pts HL,321,22.5,0,69,16 Mains/19 Crosses,Head Light,4,Classic
661,Tecnifibre,Tecnifibre ATP TFight 305 XTC,98,27,11.4,3pts HL,329,22.5,0,65,18 Mains/19 Crosses,Head Light,3,Classic
662,Tecnifibre,Tecnifibre ATP TFight 315 XTC,98,27,11.7,7pts HL,314,22.5,0,68,16 Mains/19 Crosses,Head Light,7,Classic
664,Tecnifibre,Tecnifibre TFight 315 Ltd. XTC (18x20),98,27,11.7,7pts HL,318,20,0,64,18 Mains/20 Crosses,Head Light,7,Classic
665,Tecnifibre,"Tecnifibre TFight 315 Ltd. XTC (16x19)	",98,27,11.7,7pts HL,324,20,0,64,16 Mains/19 Crosses,Head Light,7,Classic
666,Tecnifibre,Tecnifibre T-Rebound 285 Tempo2 TourLite,100,26.6,10.5,2pts HL,294,25,0,68,16 Mains/19 Crosses,Head Light,2,Classic
667,Tecnifibre,Tecnifibre T-Rebound 270 Tempo2 ProLite,100,26.6,10,0pts EB,290,25,1,68,16 Mains/19 Crosses,Head Heavy,0,Classic
668,Tecnifibre,Tecnifibre T-Rebound 260 Tempo2 PowerLite,105,26.6,9.8,0pts EB,286,25,1,64,16 Mains/19 Crosses,Head Heavy,0,Classic
669,Tecnifibre,Tecnifibre T-Rebound 275 Tempo2 PowerLite,105,26.6,10.3,1pts HL,282,25,0,58,16 Mains/19 Crosses,Head Light,1,Classic
670,Tecnifibre,Tecnifibre T-Rebound 265 Tempo2 Fit,102,26.5,9.8,1pts HH,282,25,1,60,16 Mains/19 Crosses,Head Heavy,1,Classic
671,Tecnifibre,Tecnifibre TF40 305 - 2019,98,27,11.3,3pts HL,326,22,0,64,18 Mains/20 Crosses,Head Light,3,Classic
672,Tecnifibre,Tecnifibre TF40 315 - 2019,98,27,11.8,7pts HL,323,22,0,64,18 Mains/20 Crosses,Head Light,7,Classic
673,Tecnifibre,Tecnifibre TFlash 300 CES,100,27,11.3,6pts HL,320,26,0,72,16 Mains/19 Crosses,Head Light,6,Classic
674,Tecnifibre,Tecnifibre TFlash 285 CES,100,27,10.7,1pts HL,309,26,0,72,16 Mains/19 Crosses,Head Light,1,Classic
675,Tecnifibre,Tecnifibre TFlash 270 CES,100,27,10.2,0pts EB,309,26,1,72,16 Mains/19 Crosses,Head Heavy,0,Classic
676,Tecnifibre,Tecnifibre TFlash 255 CES,100,27,9.6,0pts EB,305,26,1,70,16 Mains/19 Crosses,Head Heavy,0,Classic
677,Tecnifibre,Tecnifibre T-Rebound 285 Tempo3 TourLite,100,26.6,10.5,4pts HL,298,25,0,69,16 Mains/19 Crosses,Head Light,4,Classic
678,Tecnifibre,Tecnifibre T-Rebound 270 Tempo3,100,26.6,10,0pts EB,285,25,1,71,16 Mains/19 Crosses,Head Heavy,0,Classic
679,Tecnifibre,Tecnifibre T-Rebound 260 Tempo3,105,26.6,9.8,1pts HL,283,25,0,68,16 Mains/19 Crosses,Head Light,1,Classic
680,Tecnifibre,Tecnifibre TFight 280 RS,100,27,10.5,3pts HL,307,23.5,0,69,16 Mains/19 Crosses,Head Light,3,Classic
681,Tecnifibre,Tecnifibre TFight 295 RS - 2020,100,27,11,3pts HL,318,23.5,0,70,16 Mains/19 Crosses,Head Light,3,Classic
682,Tecnifibre,Tecnifibre TFight 300 RS - 2020,98,27,11.2,4pts HL,319,23,0,66,16 Mains/19 Crosses,Head Light,4,Classic
683,Tecnifibre,Tecnifibre TFight 305 RS - 2020,98,27,11.4,3pts HL,333,23,0,67,18 Mains/19 Crosses,Head Light,3,Classic
684,Tecnifibre,Tecnifibre TFight 315 RS - 2020,98,27,11.7,7pts HL,321,23,0,69,16 Mains/19 Crosses,Head Light,7,Classic
685,Tecnifibre,Tecnifibre T-Rebound 298 IGA - 2021,98,27,11,4pts HL,319,23,0,71,16 Mains/19 Crosses,Head Light,4,Classic
686,Tecnifibre,Tecnifibre TF-X1 300 - 2021,100,27,11.1,4pts HL,323,24,0,71,16 Mains/19 Crosses,Head Light,4,Classic
687,Tecnifibre,Tecnifibre TF-X1 285 - 2021,100,27,10.5,2pts HL,316,24,0,71,16 Mains/19 Crosses,Head Light,2,Classic
688,Tecnifibre,Tecnifibre TF-X1 275 - 2021,105,27,10.2,1pts HL,310,25.5,0,69,16 Mains/19 Crosses,Head Light,1,Classic
689,Tecnifibre,Tecnifibre TF40 315 (16x19) - 2022,98,27,11.7,8pts HL,313,22,0,64,16 Mains/19 Crosses,Head Light,8,Classic
690,Tecnifibre,Tecnifibre TF40 305 (18x20) - 2022,98,27,11.4,3pts HL,328,22,0,64,18 Mains/20 Crosses,Head Light,3,Classic
691,Tecnifibre,Tecnifibre TF40 305 16x19 - 2022,98,27,11.3,3pts HL,321,22,0,64,16 Mains/19 Crosses,Head Light,3,Classic
692,Tecnifibre,Tecnifibre Tempo 298 IGA -2022,98,27,11,4pts HL,319,23,0,71,16 Mains/19 Crosses,Head Light,4,Classic
693,Volkl,Volkl Boris Becker 10,100,27.6,11.1,5pts HL,322,23,1,65,16 Mains/18 Crosses,Head Light,5,Classic
694,Volkl,Volkl DNX 10 Mid,93,27,12,12pts HL,331,19,0,58,16 Mains/19 Crosses,Head Light,1,Classic
699,Volkl,Volkl DNX 4,105,27.6,10.3,3pts HL,309,25,1,65,16 Mains/19 Crosses,Head Light,3,Classic
700,Volkl,Volkl Tour 8 V-Engine,100,27.6,10.9,6pts HL,315,24,0,69,16 Mains/18 Crosses,Head Light,6,Classic
705,Volkl,Volkl Tour 6 Generation II,100,27,10.4,4pts HL,300,24,0,61,16 Mains/18 Crosses,Head Light,4,Classic
706,Volkl,Volkl C10 Pro,98,27,12.2,8pts HL,323,20,0,63,16 Mains/19 Crosses,Head Light,8,Classic
707,Volkl,Volkl Tour 10 Midplus Generation II,98,27,12,9pts HL,315,20,0,61,16 Mains/19 Crosses,Head Light,9,Classic
708,Volkl,Volkl Boris Becker 1,112,27.25,9.6,5pts HH,313,29,2,66,16 Mains/19 Crosses,Head Heavy,5,Classic
709,Volkl,Volkl Tour 9 V-Engine (16x19),98,27,11.5,5pts HL,308,22,0,64,16 Mains/19 Crosses,Head Light,5,Classic
710,Volkl,Volkl DNX 10 Midplus,93,27,12,12pts HL,331,19,0,58,16 Mains/19 Crosses,Head Light,1,Classic
712,Volkl,Volkl Boris Becker 5,105,27,10,0pts EB,300,25,1,64,16 Mains/19 Crosses,Head Heavy,0,Classic
713,Volkl,Volkl Catapult 4 Generation II,105,27.5,10.2,4pts HL,300,25,1,65,16 Mains/19 Crosses,Head Light,4,Classic
714,Volkl,Volkl Tour 9 V-Engine,98,27,11.4,6pts HL,306,22,0,63,18 Mains/20 Crosses,Head Light,6,Classic
716,Volkl,Volkl Tour 10 V-Engine Mid,93,27,12.2,8pts HL,318,18,0,60,18 Mains/20 Crosses,Head Light,8,Classic
720,Volkl,Volkl Tour 5,105,27,9.6,0pts EB,290,23,1,61,16 Mains/19 Crosses,Head Heavy,0,Classic
724,Volkl,Volkl C-10 Pro Tour,93,27,12.4,6pts HL,339,20,0,61,16 Mains/19 Crosses,Head Light,6,Classic
727,Volkl,Volkl C-8 ,98,27,11,3pts HL,315,21,0,62,16 Mains/19 Crosses,Head Light,3,Classic
728,Volkl,Volkl C-9 Pro,98,27,11.5,5pts HL,309,20,0,60,16 Mains/19 Crosses,Head Light,5,Classic
734,Volkl,Volkl Catapult 4,105,27.5,10.3,4pts HL,300,25,1,65,16 Mains/19 Crosses,Head Light,4,Classic
735,Volkl,Volkl Catapult 6,100,27.25,10.5,3pts HL,305,24,1,62,16 Mains/18 Crosses,Head Light,3,Classic
736,Volkl,Volkl Catapult 7,100,27.6,11,3pts HL,310,24,1,64,16 Mains/18 Crosses,Head Light,3,Classic
747,Volkl,Volkl Quantum 10 Tour,98,27,11.5,6pts HL,306,20,0,64,18 Mains/20 Crosses,Head Light,6,Classic
749,Volkl,Volkl Quantum 5,110,27.5,10.1,3pts HL,300,27,1,68,16 Mains/19 Crosses,Head Light,3,Classic
750,Volkl,Volkl Quantum 8,102,27.6,10.3,2pts HL,318,24,0,65,16 Mains/19 Crosses,Head Light,2,Classic
754,Volkl,Volkl Tour 10 Mid,93,27,12,6pts HL,327,20,0,59,18 Mains/20 Crosses,Head Light,6,Classic
755,Volkl,Volkl Tour 10 Midplus,98,27,11.7,5pts HL,328,20,0,62,16 Mains/19 Crosses,Head Light,5,Classic
756,Volkl,Volkl Tour 10 V-Engine Midplus,98,27,11.9,7pts HL,320,20,0,62,16 Mains/19 Crosses,Head Light,7,Classic
758,Volkl,Volkl Tour 7,107,27,11.1,5pts HL,305,22,0,63,16 Mains/19 Crosses,Head Light,5,Classic
759,Volkl,Volkl Tour 8,100,27.6,10.9,6pts HL,307,20,0,70,16 Mains/18 Crosses,Head Light,6,Classic
761,Volkl,Volkl Tour 8 S.E.,100,27,10.3,4pts HL,290,20,0,62,16 Mains/18 Crosses,Head Light,4,Classic
762,Volkl,Volkl Tour 9,98,27,11.3,6pts HL,300,20,0,68,16 Mains/19 Crosses,Head Light,6,Classic
767,Volkl,Volkl X-10 Pro,98,27.5,11.4,11pts HL,307,20,0,61,16 Mains/19 Crosses,Head Light,1,Classic
773,Volkl,Volkl Power Bridge 10 MP,98,27,12,7pts HL,320,19,0,64,18 Mains/20 Crosses,Head Light,7,Classic
775,Volkl,Volkl Catapult V10 V-Engine,102,27,11.8,6pts HL,334,28,0,67,16 Mains/19 Crosses,Head Light,6,Classic
776,Volkl,Volkl Power Bridge 3,110,27.8,10.2,1pts HL,339,27,2,68,16 Mains/19 Crosses,Head Light,1,Classic
777,Volkl,Volkl Power Bridge V1 Midplus,102,27,10.5,2pts HL,310,25,1,68,16 Mains/19 Crosses,Head Light,2,Classic
778,Volkl,Volkl Power Bridge V1 Oversize,110,27.6,10.5,3pts HL,320,26,1,68,16 Mains/19 Crosses,Head Light,3,Classic
779,Volkl,Volkl Quantum Scorcher,102,27,10,6pts HL,285,25,0,61,16 Mains/19 Crosses,Head Light,6,Classic
780,Volkl,Volkl Power Bridge 10 Mid,93,27,12.1,10pts HL,320,19,0,59,16 Mains/19 Crosses,Head Light,1,Classic
781,Volkl,Volkl C10 Pro,98,27,12.2,8pts HL,323,20,0,63,16 Mains/19 Crosses,Head Light,8,Classic
782,Volkl,Volkl Power Bridge 2,115,27.6,10,2pts HH,325,28,2,70,16 Mains/19 Crosses,Head Heavy,2,Classic
783,Volkl,Volkl Power Bridge 9,98,27,11.3,6pts HL,306,21,0,66,16 Mains/19 Crosses,Head Light,6,Classic
784,Volkl,Volkl Power Bridge 5,102,27,10.6,4pts HL,302,25,1,65,16 Mains/19 Crosses,Head Light,4,Classic
785,Volkl,Volkl Tour Scorcher,100,27,9.9,2pts HH,293,23,1,60,16 Mains/18 Crosses,Head Heavy,2,Classic
786,Volkl,Volkl Power Bridge 8 315,100,27,11.4,8pts HL,302,24,0,70,16 Mains/18 Crosses,Head Light,8,Classic
787,Volkl,Volkl Power Bridge 7,107,27.3,10.5,1pts HL,309,23,1,67,16 Mains/19 Crosses,Head Light,1,Classic
788,Volkl,Volkl Power Bridge 9 Junior 26,102,26,9.5,3pts HH,240,24,1,58,16 Mains/19 Crosses,Head Heavy,3,Classic
789,Volkl,Volkl Organix 8 (300g) - 2011,100,27,11.4,4pts HL,330,23.5,1,68,16 Mains/18 Crosses,Head Light,4,Classic
790,Volkl,Volkl Organix 6 - 2011,100,27,10.22,0pts EB,306,24,2,65,16 Mains/18 Crosses,Head Heavy,0,Classic
791,Volkl,Volkl Organix 4 - 2011,105,27.6,10.2,5pts HL,306,25,1,65,16 Mains/19 Crosses,Head Light,5,Classic
792,Volkl,Volkl Organix 10 325g - 2011,98,27,12.1,7pts HL,317,20,0,64,16 Mains/19 Crosses,Head Light,7,Classic
793,Babolat,Babolat Boost Drive (2021),105,27,9.6,3pts HH,312,26,1,65,16 Mains/19 Crosses,Head Heavy,3,Modern
794,Babolat,Babolat Boost Aero Yellow,102,27,9.8,2pts HH,306,26,1,67,16 Mains/19 Crosses,Head Heavy,2,Modern
795,Babolat,Babolat Drive 115 (2018),115,27.6,9.1,5pts HH,314,28,1,66,16 Mains/20 Crosses,Head Heavy,5,Modern
796,Babolat,Babolat Pure Aero - 2019,100,27,11.2,4pts HL,324,26,0,67,16 Mains/19 Crosses,Head Light,4,Modern
799,Babolat, Babolat Pure Drive VS - 2019,98,27,11.2,4pts HL,317,23,0,68,16 Mains/19 Crosses,Head Light,4,Modern
800,Babolat,Babolat Pure Aero Tour - 2019,100,27,11.8,6pts HL,327,26,0,68,16 Mains/19 Crosses,Head Light,6,Modern
801,Babolat,Babolat Pure Aero Plus - 2019,100,27.5,11.3,6pts HL,330,26,0,68,16 Mains/19 Crosses,Head Light,6,Modern
802,Babolat,Babolat Drive G,102,27,10.1,4pts HL,298,26,0,67,16 Mains/19 Crosses,Head Light,4,Modern
803,Babolat,Babolat Pure Strike Tour 3rd Gen - 2019,98,27,12,6pts HL,333,23,0,65,16 Mains/19 Crosses,Head Light,6,Modern
804,Babolat,Babolat Pure Strike 100 3rd Gen - 2019,100,27,11.1,4pts HL,319,23,0,69,16 Mains/19 Crosses,Head Light,4,Modern
805,Babolat,Babolat Pure Strike Team 3rd Gen - 2019,100,27,10.7,1pts HL,309,23,0,69,16 Mains/19 Crosses,Head Light,1,Modern
806,Babolat,Babolat Pure Strike 16x19 3rd Gen - 2019,98,27,11.4,4pts HL,327,23,0,66,16 Mains/19 Crosses,Head Light,4,Modern
807,Babolat,Babolat Pure Strike 18x20 3rd Gen - 2019,98,27,11.4,4pts HL,334,23,0,66,18 Mains/20 Crosses,Head Light,4,Modern
808,Babolat,Babolat Pure Strike EVO - 2020,102,27,10.4,4pts HL,308,25,0,65,16 Mains/19 Crosses,Head Light,4,Modern
809,Babolat,Babolat Boost S (Strike),102,27,10.4,3pts HL,312,26,0,68,16 Mains/19 Crosses,Head Light,3,Modern
810,Babolat,Babolat Pure Aero VS -2020,98,27,11.3,6pts HL,321,23,0,67,16 Mains/20 Crosses,Head Light,6,Modern
811,Babolat,Babolat Pure Drive - 2021,100,27,11.2,4pts HL,320,26,0,71,16 Mains/19 Crosses,Head Light,4,Modern
812,Babolat,Babolat Pure Drive Lite - 2021,100,27,10,1pts HL,299,26,0,69,16 Mains/19 Crosses,Head Light,1,Modern
813,Babolat,Babolat Pure Drive 107 - 2021,107,27.2,10.6,5pts HL,309,26,1,69,16 Mains/19 Crosses,Head Light,5,Modern
814,Babolat,Babolat Pure Drive 110 - 2021,110,27.6,9.5,3pts HL,298,26.5,1,70,16 Mains/19 Crosses,Head Light,3,Modern
815,Babolat,Babolat Pure Drive Team - 2021,100,27,10.6,5pts HL,313,26,0,69,16 Mains/19 Crosses,Head Light,5,Modern
816,Babolat,Babolat Pure Drive Tour - 2021,100,27,11.8,6pts HL,326,26,0,70,16 Mains/19 Crosses,Head Light,6,Modern
817,Babolat,Babolat Pure Drive Plus - 2021,100,27.5,11.2,6pts HL,324,26,0,69,16 Mains/19 Crosses,Head Light,6,Modern
818,Babolat,Babolat EVO Drive,104,27,10,4pts HL,302,26,0,68,16 Mains/17 Crosses,Head Light,4,Modern
819,Babolat,Babolat EVO Drive Lite,104,27,9.5,4pts HL,298,26,0,67,16 Mains/17 Crosses,Head Light,4,Modern
820,Babolat,Babolat Pure Aero Rafa! - 2018,100,27,11.2,4pts HL,324,26,0,67,16 Mains/19 Crosses,Head Light,4,Modern
821,Babolat,Babolat EVO Drive 115,115,27.6,9,0pts EB,313,28,1,67,16 Mains/17 Crosses,Head Heavy,0,Modern
822,Babolat,Babolat Boost Drive W (2021),105,27,9.6,3pts HH,312,26,1,65,16 Mains/19 Crosses,Head Heavy,3,Modern
823,Babolat,Babolat Pure Aero Rafa Lite - 2018,100,27,10.1,0pts EB,311,26,1,68,16 Mains/19 Crosses,Head Heavy,0,Modern
824,Babolat,Babolat Pure Aero Rafa Team - 2018,100,27,10.6,4pts HL,307,26,0,69,16 Mains/19 Crosses,Head Light,4,Modern
825,Babolat,Babolat Boost Aero Rafa,102,27,9.8,2pts HH,306,26,1,67,16 Mains/19 Crosses,Head Heavy,2,Modern
826,Babolat,Babolat Pure Strike 103 - 2022,103,27,10.6,4pts HL,303,23,0,65,16 Mains/19 Crosses,Head Light,4,Modern
827,Babolat,Babolat Pure Strike VS - 2022,97,27,11.7,7pts HL,322,22,0,63,16 Mains/20 Crosses,Head Light,7,Modern
828,Babolat,Babolat EVO Drive Lite W - 2021,104,27,9.5,4pts HL,298,26,0,67,16 Mains/17 Crosses,Head Light,4,Modern
829,Babolat,Babolat EVOKE 105 - 2021,105,27,10.2,3pts HH,292,22,1,57,16 Mains/19 Crosses,Head Heavy,3,Modern
830,Babolat,Babolat EVOKE 102 - 2021,102,27,10.2,3pts HH,289,22,1,56,16 Mains/19 Crosses,Head Heavy,3,Modern
831,Babolat,Babolat EVOKE 102 W - 2021,102,27,10.2,3pts HH,289,22,1,56,16 Mains/19 Crosses,Head Heavy,3,Modern
832,Babolat,Babolat Boost Drive Wimbledon - 2022,105,27,9.6,3pts HH,312,26,1,65,16 Mains/19 Crosses,Head Heavy,3,Modern
833,Babolat,Babolat EVO Drive 115 Wimbledon - 2022,115,27.6,9,0pts EB,313,28,1,67,16 Mains/17 Crosses,Head Heavy,0,Modern
834,Babolat,Babolat Pure Aero - 2023,100,27,11.2,4pts HL,322,26,0,65,16 Mains/19 Crosses,Head Light,4,Modern
835,Babolat,Babolat Pure Aero Lite - 2023,100,27,10,1pts HL,304,26,0,65,16 Mains/19 Crosses,Head Light,1,Modern
836,Wilson,Wilson Hyper Hammer 5.3 Stretch Oversize,110,27.5,9,8pts HH,301,25,1,70,16 Mains/20 Crosses,Head Heavy,8,Modern
837,Wilson,Wilson Blade 98 (18x20) v7 - 2019,98,27,11.4,4pts HL,334,21,0,62,18 Mains/20 Crosses,Head Light,4,Modern
838,Wilson,Wilson Blade 98L (16x19) v6 - 2021,98,27,10.7,1pts HL,314,21,0,67,16 Mains/19 Crosses,Head Light,1,Modern
