,Manufacturer,Name,Headsize (sq_inch),Length (inn),Strung Weight (oz),Balance,Swingweight,Beamwidth,Power Level,Stiffness,Stringing Pattern,HL or HH,Points of Balance,new_old
130,Wilson,Wilson KZen,103,27.25,9.9,1pts HL,310,26,0,70,16 Mains/19 Crosses,Head Light,1,Classic
131,Wilson,Wilson nSix-Two Oversize,113,27.5,10.2,1pts HL,325,28,1,69,16 Mains/20 Crosses,Head Light,1,Classic
134,Wilson,Wilson KZen Team,103,27.25,10.2,1pts HH,312,26,1,70,16 Mains/19 Crosses,Head Heavy,1,Classic
137,Wilson,Wilson nFury Two Midplus,100,27,10.1,2pts HL,294,22,0,50,16 Mains/20 Crosses,Head Light,2,Classic
138,Wilson,Wilson  nSix-Two Midplus,100,27,10.5,4pts HL,302,26,0,65,16 Mains/19 Crosses,Head Light,4,Classic
139,Wilson,Wilson nSix-One 95,95,27,12.2,10pts HL,330,22,0,65,16 Mains/18 Crosses,Head Light,1,Classic
140,Wilson,Wilson KPro Open,100,27,11,5pts HL,306,26,0,66,16 Mains/19 Crosses,Head Light,5,Classic
141,Wilson,Wilson KBlade Tour,93,27,11.8,8pts HL,323,20,0,65,18 Mains/20 Crosses,Head Light,8,Classic
142,Wilson,Wilson KSix-One 95 (16x18),95,27,12.3,8pts HL,340,22,0,69,16 Mains/18 Crosses,Head Light,8,Classic
143,Wilson,Wilson Ksting,105,27.25,9.6,1pts HH,298,26,1,58,16 Mains/19 Crosses,Head Heavy,1,Classic
144,Wilson,Wilson KSurge,100,27,10.3,1pts HL,301,25,1,68,16 Mains/19 Crosses,Head Light,1,Classic
145,Wilson,Wilson KSix-One 95 (18x20),95,27,12.3,8pts HL,340,22,0,69,18 Mains/20 Crosses,Head Light,8,Classic
146,Wilson,Wilson  W4 Cobalt Storm,107,27.25,9.7,5pts HH,306,26,2,67,16 Mains/18 Crosses,Head Heavy,5,Classic
147,Wilson,Wilson  W4 Red Fury,107,27.25,9.7,5pts HH,306,26,2,67,16 Mains/18 Crosses,Head Heavy,5,Classic
148,Wilson,Wilson W4 Savage Lime,107,27.25,9.7,5pts HH,306,26,2,67,16 Mains/18 Crosses,Head Heavy,5,Classic
149,Wilson,Wilson  W4 Savage Saphire,107,27.25,9.7,5pts HH,306,26,2,67,16 Mains/18 Crosses,Head Heavy,5,Classic
150,Wilson,Wilson  W2 Black Whisper,117,27.5,9.5,6pts HH,318,27,2,65,16 Mains/18 Crosses,Head Heavy,6,Classic
151,Wilson,Wilson  W2 Blue Shadow,117,27.5,9.5,6pts HH,318,27,2,65,16 Mains/18 Crosses,Head Heavy,6,Classic
